emoji,name,url,filename
😀,grinning face,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face_1f600.png,data/grinning face.png
😁,beaming face with smiling eyes,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/beaming-face-with-smiling-eyes_1f601.png,data/beaming face with smiling eyes.png
😂,face with tears of joy,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-tears-of-joy_1f602.png,data/face with tears of joy.png
🤣,rolling on the floor laughing,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/rolling-on-the-floor-laughing_1f923.png,data/rolling on the floor laughing.png
😃,grinning face with big eyes,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-big-eyes_1f603.png,data/grinning face with big eyes.png
😄,grinning face with smiling eyes,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-smiling-eyes_1f604.png,data/grinning face with smiling eyes.png
😅,grinning face with sweat,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-sweat_1f605.png,data/grinning face with sweat.png
😆,grinning squinting face,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-squinting-face_1f606.png,data/grinning squinting face.png
😉,winking face,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/winking-face_1f609.png,data/winking face.png
😊,smiling face with smiling eyes,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-smiling-eyes_1f60a.png,data/smiling face with smiling eyes.png
😋,face savoring food,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-savoring-food_1f60b.png,data/face savoring food.png
😎,smiling face with sunglasses,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-sunglasses_1f60e.png,data/smiling face with sunglasses.png
😍,smiling face with heart-eyes,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-heart-eyes_1f60d.png,data/smiling face with heart-eyes.png
😘,face blowing a kiss,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-blowing-a-kiss_1f618.png,data/face blowing a kiss.png
🥰,smiling face with 3 hearts,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-hearts_1f970.png,data/smiling face with 3 hearts.png
😗,kissing face,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/kissing-face_1f617.png,data/kissing face.png
😙,kissing face with smiling eyes,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/kissing-face-with-smiling-eyes_1f619.png,data/kissing face with smiling eyes.png
